u,v,natural_count
247089750,247089752,1
247089750,247089895,1
247089750,1339877008,1
247089750,8499210013,1
247089752,247089750,1
247089752,247089754,1
247089752,4060727890,1
247089754,247089752,1
247089895,247089750,1
247089895,247089986,1
247089895,247090010,1
247089895,4247979026,1
247089986,247089895,1
247089986,247090006,1
247089986,247090020,1
247090006,247089986,1
247090006,247090031,1
247090006,7740650456,1
247090007,7740650453,1
247090007,7740650456,1
247090010,247089895,1
247090010,247090012,1
247090010,463755063,1
247090012,247090010,1
247090020,247089986,1
247090023,247090031,1
247090023,247090107,1
247090023,7740650453,1
247090031,247090006,1
247090031,247090023,1
247090107,247090023,1
271449330,1374765448,1
271449330,4985431546,1
271449330,9362537993,1
463755063,247090010,1
1339877008,247089750,1
1339877049,3948072549,1
1351166514,9790768835,1
1374765448,271449330,1
1579405484,4985431546,1
3676179682,4928761330,1
3824714015,4247979026,1
3948072544,3948072549,1
3948072549,1339877049,1
3948072549,3948072544,1
3948072549,4985431546,1
4060727890,247089752,1
4247979024,4247979026,1
4247979026,247089895,1
4247979026,3824714015,1
4247979026,4247979024,1
4928761324,4928761330,1
4928761330,3676179682,1
4928761330,4928761324,1
4928761330,5759889043,1
4985431546,271449330,1
4985431546,1579405484,1
4985431546,3948072549,1
5759889043,4928761330,1
5759889043,5759889045,1
5759889043,9590833001,1
5759889045,5759889043,1
7740650452,7740650452,2
7740650452,7740650453,1
7740650452,7740650456,1
7740650453,247090007,1
7740650453,247090023,1
7740650453,7740650452,1
7740650456,247090006,1
7740650456,247090007,1
7740650456,7740650452,1
8499210013,247089750,1
9362537993,271449330,1
9428477130,9428477131,1
9428477131,9428477130,1
9590833001,5759889043,1
9709829315,9709829316,1
9709829316,9709829315,1
9790768835,1351166514,1
10772724854,10772724858,1
10772724858,10772724854,1
